backend,policy,query_id,canonical_intent_id,language,recoverability,split,task_type,domain,action,reason_code,intent_exact,committed_wrong,retrieval_calls,source_calls,steps,unknown_score,gate_route,complexity_score,ambiguity_score,open_set_score,latency_ms,gate_ms,retrieval_ms,candidate_generation_ms,belief_update_ms,policy_ms,compute_proxy
bm25,fast_only,wdi_000001_d0_en,wdi_000001,en,CLEAR,calibration,NUMERIC_LOOKUP,wdi,ANSWER,SUFFICIENT_EVIDENCE,True,False,1,1,1,0.05479452054794521,QUASAR,0.289767,0.715891,0.0,0.8397999918088317,0.25759998243302107,0.13219995889812708,0.2872999757528305,0.0,0.0,1.1
bm25,fast_only,wdi_000001_d2_en,wdi_000001,en,SOURCE_RECOVERABLE,calibration,INTENT_IDENTIFICATION,wdi,ANSWER,SUFFICIENT_EVIDENCE,True,False,1,1,1,0.05479452054794521,QUASAR,0.314767,0.715891,0.0,0.4689000779762864,0.08460006210952997,0.12199999764561653,0.15510001685470343,0.0,0.0,1.1
bm25,fast_only,wdi_000001_d3_en,wdi_000001,en,USER_RESOLVABLE,calibration,INTENT_IDENTIFICATION,wdi,ANSWER,SUFFICIENT_EVIDENCE,True,False,1,1,1,0.06557377049180328,FAST,0.1,0.0,0.0,0.34039991442114115,0.060399994254112244,0.07069995626807213,0.130099942907691,0.0,0.0,1.1
bm25,fast_only,wdi_000001_d5_en,wdi_000001,en,USER_RESOLVABLE,calibration,INTENT_IDENTIFICATION,wdi,ANSWER,SUFFICIENT_EVIDENCE,True,False,1,1,1,0.06557377049180328,QUASAR,0.545,0.15,0.0,0.30809990130364895,0.04939991049468517,0.06150000263005495,0.1230000052601099,0.0,0.0,1.1
bm25,fast_only,wdi_000001_d0_pt,wdi_000001,pt,CLEAR,calibration,NUMERIC_LOOKUP,wdi,ANSWER,SUFFICIENT_EVIDENCE,True,False,1,1,1,0.05479452054794521,QUASAR,0.289767,0.715891,0.0,0.35720004234462976,0.06450002547353506,0.08679996244609356,0.13229995965957642,0.0,0.0,1.1
bm25,fast_only,wdi_000001_cf_entity_en,wdi_000001,en,CLEAR,calibration,NUMERIC_LOOKUP,wdi,ANSWER,SUFFICIENT_EVIDENCE,True,False,1,1,1,0.05479452054794521,QUASAR,0.253063,0.760211,0.0,0.4629000322893262,0.06450002547353506,0.09600003249943256,0.12970005627721548,0.0,0.0,1.1
bm25,fast_only,wdi_000002_d0_en,wdi_000002,en,DATA_UNAVAILABLE,development,NUMERIC_LOOKUP,wdi,ANSWER,SUFFICIENT_EVIDENCE,True,False,1,1,1,0.05479452054794521,QUASAR,0.278063,0.760211,0.0,0.4813000559806824,0.07149996235966682,0.175100052729249,0.14420005027204752,0.0,0.0,1.1
bm25,fast_only,wdi_000002_d2_en,wdi_000002,en,SOURCE_RECOVERABLE,development,INTENT_IDENTIFICATION,wdi,ANSWER,SUFFICIENT_EVIDENCE,True,False,1,1,1,0.05479452054794521,QUASAR,0.303063,0.760211,0.0,0.36700000055134296,0.061400001868605614,0.09640003554522991,0.13539998326450586,0.0,0.0,1.1
bm25,fast_only,wdi_000002_d3_en,wdi_000002,en,USER_RESOLVABLE,development,INTENT_IDENTIFICATION,wdi,ANSWER,SUFFICIENT_EVIDENCE,True,False,1,1,1,0.06557377049180328,FAST,0.075,0.0,0.0,0.3290999447926879,0.0610999995842576,0.06909994408488274,0.1311000669375062,0.0,0.0,1.1
bm25,fast_only,wdi_000002_d5_en,wdi_000002,en,USER_RESOLVABLE,development,INTENT_IDENTIFICATION,wdi,ANSWER,SUFFICIENT_EVIDENCE,True,False,1,1,1,0.06557377049180328,QUASAR,0.545,0.15,0.0,0.3000999568030238,0.04859990440309048,0.06610003765672445,0.11790008284151554,0.0,0.0,1.1
